Question Number,Humor Rating,AI/Human Rating
1,5,1.333333333
2,5,1.333333333
3,4.333333333,1.333333333
4,5,2
5,4.333333333,3
6,5,1.666666667
7,3.666666667,1.333333333
8,5,1.333333333
9,4.666666667,2.666666667
10,4.333333333,1.333333333
11,5,1.333333333
12,5,2
13,4.666666667,1.333333333
14,4.666666667,2
15,4,2
16,4.333333333,1.666666667
17,4.666666667,3
18,4.333333333,1.333333333
19,4.666666667,2.666666667
20,5,1.333333333
21,3.333333333,1.333333333
22,4.333333333,2
23,5,2
24,2.666666667,1.333333333
