Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
1,1,ChatGPT,3,4
2,1,ChatGPT,4,4
3,1,ChatGPT,5,4
4,1,ChatGPT,4,4
5,1,ChatGPT,3,4
6,1,ChatGPT,4,4
7,1,ChatGPT,3,1
8,1,ChatGPT,4,4
9,1,ChatGPT,4,1
10,1,ChatGPT,4,4
11,1,ChatGPT,3,4
12,1,ChatGPT,4,4
13,1,ChatGPT,3,4
14,1,ChatGPT,4,4
15,1,ChatGPT,3,4
16,1,ChatGPT,4,4
17,1,ChatGPT,4,1
18,1,ChatGPT,3,4
19,1,ChatGPT,4,1
20,1,ChatGPT,4,4
21,1,ChatGPT,3,4
22,1,ChatGPT,4,1
23,1,ChatGPT,3,4
24,1,ChatGPT,4,4
1,2,ChatGPT,3,4
2,2,ChatGPT,4,4
3,2,ChatGPT,3,4
4,2,ChatGPT,3,4
5,2,ChatGPT,3,1
6,2,ChatGPT,4,4
7,2,ChatGPT,3,1
8,2,ChatGPT,4,4
9,2,ChatGPT,3,1
10,2,ChatGPT,4,4
11,2,ChatGPT,4,4
12,2,ChatGPT,4,4
13,2,ChatGPT,3,4
14,2,ChatGPT,3,1
15,2,ChatGPT,4,4
16,2,ChatGPT,3,4
17,2,ChatGPT,4,1
18,2,ChatGPT,3,4
19,2,ChatGPT,4,1
20,2,ChatGPT,4,4
21,2,ChatGPT,3,4
22,2,ChatGPT,4,4
23,2,ChatGPT,3,4
24,2,ChatGPT,2,4
1,3,ChatGPT,3,4
2,3,ChatGPT,3,1
3,3,ChatGPT,4,4
4,3,ChatGPT,2,1
5,3,ChatGPT,2,1
6,3,ChatGPT,4,4
7,3,ChatGPT,2,1
8,3,ChatGPT,4,4
9,3,ChatGPT,3,1
10,3,ChatGPT,3,1
11,3,ChatGPT,4,4
12,3,ChatGPT,3,1
13,3,ChatGPT,3,4
14,3,ChatGPT,4,4
15,3,ChatGPT,3,4
16,3,ChatGPT,3,1
17,3,ChatGPT,4,4
18,3,ChatGPT,3,4
19,3,ChatGPT,4,1
20,3,ChatGPT,4,4
21,3,ChatGPT,3,1
22,3,ChatGPT,4,4
23,3,ChatGPT,3,4
24,3,ChatGPT,3,4
1,4,ChatGPT,3,4
2,4,ChatGPT,3,4
3,4,ChatGPT,4,4
4,4,ChatGPT,3,1
5,4,ChatGPT,2,1
6,4,ChatGPT,4,4
7,4,ChatGPT,2,4
8,4,ChatGPT,3,4
9,4,ChatGPT,4,1
10,4,ChatGPT,3,4
11,4,ChatGPT,3,4
12,4,ChatGPT,3,4
13,4,ChatGPT,3,4
14,4,ChatGPT,4,4
15,4,ChatGPT,3,4
16,4,ChatGPT,4,4
17,4,ChatGPT,4,1
18,4,ChatGPT,3,4
19,4,ChatGPT,5,1
20,4,ChatGPT,4,4
21,4,ChatGPT,3,4
22,4,ChatGPT,3,4
23,4,ChatGPT,3,4
24,4,ChatGPT,3,4
1,5,ChatGPT,3,4
2,5,ChatGPT,3,4
3,5,ChatGPT,4,4
4,5,ChatGPT,4,4
5,5,ChatGPT,2,1
6,5,ChatGPT,4,4
7,5,ChatGPT,2,1
8,5,ChatGPT,3,4
9,5,ChatGPT,4,4
10,5,ChatGPT,3,4
11,5,ChatGPT,3,4
12,5,ChatGPT,3,4
13,5,ChatGPT,3,4
14,5,ChatGPT,3,4
15,5,ChatGPT,3,4
16,5,ChatGPT,4,4
17,5,ChatGPT,4,4
18,5,ChatGPT,2,4
19,5,ChatGPT,3,1
20,5,ChatGPT,3,4
21,5,ChatGPT,2,4
22,5,ChatGPT,3,4
23,5,ChatGPT,3,4
24,5,ChatGPT,3,4
