Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
1,1,Claude,2,1
2,1,Claude,3,4
3,1,Claude,3,4
4,1,Claude,4,4
5,1,Claude,3,1
6,1,Claude,4,4
7,1,Claude,4,4
8,1,Claude,4,4
9,1,Claude,3,1
10,1,Claude,4,4
11,1,Claude,4,4
12,1,Claude,3,1
13,1,Claude,4,4
14,1,Claude,2,1
15,1,Claude,4,4
16,1,Claude,4,4
17,1,Claude,2,1
18,1,Claude,3,4
19,1,Claude,3,1
20,1,Claude,4,4
21,1,Claude,3,4
22,1,Claude,4,4
23,1,Claude,4,4
24,1,Claude,3,4
1,2,Claude,2,1
2,2,Claude,3,4
3,2,Claude,3,4
4,2,Claude,4,4
5,2,Claude,3,1
6,2,Claude,4,4
7,2,Claude,4,4
8,2,Claude,4,4
9,2,Claude,3,1
10,2,Claude,4,4
11,2,Claude,4,4
12,2,Claude,3,1
13,2,Claude,4,4
14,2,Claude,2,1
15,2,Claude,4,4
16,2,Claude,4,4
17,2,Claude,2,1
18,2,Claude,3,4
19,2,Claude,3,1
20,2,Claude,4,4
21,2,Claude,3,4
22,2,Claude,4,4
23,2,Claude,5,4
24,2,Claude,4,4
1,3,Claude,2,1
2,3,Claude,3,4
3,3,Claude,3,4
4,3,Claude,4,4
5,3,Claude,3,1
6,3,Claude,4,4
7,3,Claude,4,4
8,3,Claude,4,4
9,3,Claude,3,1
10,3,Claude,4,4
11,3,Claude,4,4
12,3,Claude,3,1
13,3,Claude,4,4
14,3,Claude,2,1
15,3,Claude,4,4
16,3,Claude,4,4
17,3,Claude,2,1
18,3,Claude,3,4
19,3,Claude,3,1
20,3,Claude,4,4
21,3,Claude,3,4
22,3,Claude,4,4
23,3,Claude,4,4
24,3,Claude,3,4
1,4,Claude,2,1
2,4,Claude,3,4
3,4,Claude,3,4
4,4,Claude,4,4
5,4,Claude,3,1
6,4,Claude,4,4
7,4,Claude,4,4
8,4,Claude,4,4
9,4,Claude,3,1
10,4,Claude,4,4
11,4,Claude,4,4
12,4,Claude,3,1
13,4,Claude,4,4
14,4,Claude,2,1
15,4,Claude,4,4
16,4,Claude,5,4
17,4,Claude,2,1
18,4,Claude,3,4
19,4,Claude,3,1
20,4,Claude,4,4
21,4,Claude,3,4
22,4,Claude,5,4
23,4,Claude,4,4
24,4,Claude,3,4
1,5,Claude,2,1
2,5,Claude,3,4
3,5,Claude,3,4
4,5,Claude,4,4
5,5,Claude,3,1
6,5,Claude,4,4
7,5,Claude,4,4
8,5,Claude,4,4
9,5,Claude,3,1
10,5,Claude,4,4
11,5,Claude,4,4
12,5,Claude,3,1
13,5,Claude,4,4
14,5,Claude,2,1
15,5,Claude,4,4
16,5,Claude,5,4
17,5,Claude,2,1
18,5,Claude,3,4
19,5,Claude,3,1
20,5,Claude,4,4
21,5,Claude,3,4
22,5,Claude,5,4
23,5,Claude,4,4
24,5,Claude,4,4
1,6,Claude,2,1
2,6,Claude,3,1
3,6,Claude,3,4
4,6,Claude,4,4
5,6,Claude,3,1
6,6,Claude,4,4
7,6,Claude,4,4
8,6,Claude,4,4
9,6,Claude,3,1
10,6,Claude,4,4
11,6,Claude,3,4
