Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
1,1,Gemini,3,4
2,1,Gemini,4,4
3,1,Gemini,4,4
4,1,Gemini,4,4
5,1,Gemini,4,4
6,1,Gemini,3,4
7,1,Gemini,3,1
8,1,Gemini,4,4
9,1,Gemini,5,4
10,1,Gemini,3,1
11,1,Gemini,4,4
12,1,Gemini,4,4
13,1,Gemini,3,4
14,1,Gemini,4,4
15,1,Gemini,3,4
16,1,Gemini,4,4
17,1,Gemini,5,4
18,1,Gemini,3,1
19,1,Gemini,5,4
20,1,Gemini,4,4
21,1,Gemini,3,1
22,1,Gemini,4,4
23,1,Gemini,4,4
24,1,Gemini,3,4
1,2,Gemini,2,1
2,2,Gemini,3,1
3,2,Gemini,4,4
4,2,Gemini,3,4
5,2,Gemini,3,4
6,2,Gemini,4,4
7,2,Gemini,2,1
8,2,Gemini,4,4
9,2,Gemini,4,4
10,2,Gemini,3,1
11,2,Gemini,3,1
12,2,Gemini,4,4
13,2,Gemini,3,1
14,2,Gemini,4,4
15,2,Gemini,3,4
16,2,Gemini,4,4
17,2,Gemini,4,4
18,2,Gemini,3,1
19,2,Gemini,5,4
20,2,Gemini,4,4
21,2,Gemini,3,1
22,2,Gemini,4,4
23,2,Gemini,4,4
24,2,Gemini,3,4
1,3,Gemini,3,1
2,3,Gemini,3,1
3,3,Gemini,4,4
4,3,Gemini,4,4
5,3,Gemini,5,4
6,3,Gemini,4,4
7,3,Gemini,3,1
8,3,Gemini,4,4
9,3,Gemini,4,4
10,3,Gemini,3,1
11,3,Gemini,3,1
12,3,Gemini,4,4
13,3,Gemini,4,4
14,3,Gemini,5,4
15,3,Gemini,4,4
16,3,Gemini,5,4
17,3,Gemini,5,4
18,3,Gemini,3,1
19,3,Gemini,5,4
20,3,Gemini,4,4
21,3,Gemini,3,1
22,3,Gemini,5,4
23,3,Gemini,4,4
24,3,Gemini,3,1
1,4,Gemini,3,4
2,4,Gemini,4,4
3,4,Gemini,4,4
4,4,Gemini,4,4
5,4,Gemini,4,4
6,4,Gemini,3,4
7,4,Gemini,3,1
8,4,Gemini,4,4
9,4,Gemini,5,4
10,4,Gemini,3,1
11,4,Gemini,3,4
12,4,Gemini,4,4
13,4,Gemini,3,4
14,4,Gemini,5,4
15,4,Gemini,4,4
16,4,Gemini,4,4
17,4,Gemini,5,4
18,4,Gemini,3,1
19,4,Gemini,5,4
20,4,Gemini,4,4
21,4,Gemini,3,1
22,4,Gemini,4,4
23,4,Gemini,4,4
24,4,Gemini,3,1
1,5,Gemini,3,4
2,5,Gemini,3,4
3,5,Gemini,4,4
4,5,Gemini,4,4
5,5,Gemini,4,4
6,5,Gemini,3,4
7,5,Gemini,2,4
8,5,Gemini,4,4
9,5,Gemini,4,4
10,5,Gemini,3,4
11,5,Gemini,3,4
12,5,Gemini,4,4
13,5,Gemini,3,4
14,5,Gemini,4,4
15,5,Gemini,3,4
16,5,Gemini,4,4
17,5,Gemini,5,4
18,5,Gemini,3,4
19,5,Gemini,5,4
20,5,Gemini,4,4
21,5,Gemini,3,4
22,5,Gemini,4,4
23,5,Gemini,4,4
24,5,Gemini,3,4
1,6,Gemini,3,4
2,6,Gemini,3,4
3,6,Gemini,4,4
4,6,Gemini,4,4
5,6,Gemini,4,4
6,6,Gemini,3,4
7,6,Gemini,3,4
8,6,Gemini,4,4
9,6,Gemini,4,4
10,6,Gemini,3,4
11,6,Gemini,3,4
12,6,Gemini,4,4
13,6,Gemini,4,4
14,6,Gemini,4,4
15,6,Gemini,3,4
16,6,Gemini,4,4
17,6,Gemini,5,4
18,6,Gemini,3,4
19,6,Gemini,5,4
20,6,Gemini,4,4
21,6,Gemini,3,4
22,6,Gemini,4,4
23,6,Gemini,4,4
24,6,Gemini,3,4
1,7,Gemini,2,1
2,7,Gemini,3,1
3,7,Gemini,4,4
4,7,Gemini,4,4
5,7,Gemini,3,4
6,7,Gemini,4,4
7,7,Gemini,2,1
8,7,Gemini,5,4
9,7,Gemini,5,4
10,7,Gemini,3,1
11,7,Gemini,4,4
12,7,Gemini,4,4
13,7,Gemini,3,4
14,7,Gemini,5,4
15,7,Gemini,3,4
16,7,Gemini,4,4
17,7,Gemini,5,4
18,7,Gemini,3,1
19,7,Gemini,5,4
20,7,Gemini,4,4
21,7,Gemini,2,1
22,7,Gemini,4,4
23,7,Gemini,4,4
24,7,Gemini,3,4
1,8,Gemini,3,4
2,8,Gemini,3,4
3,8,Gemini,4,4
4,8,Gemini,4,4
5,8,Gemini,4,4
6,8,Gemini,3,4
7,8,Gemini,2,4
8,8,Gemini,4,4
9,8,Gemini,5,4
10,8,Gemini,3,4
11,8,Gemini,3,4
12,8,Gemini,4,4
13,8,Gemini,3,4
14,8,Gemini,5,4
15,8,Gemini,4,4
16,8,Gemini,4,4
17,8,Gemini,5,4
18,8,Gemini,3,4
19,8,Gemini,5,4
20,8,Gemini,4,4
21,8,Gemini,3,4
22,8,Gemini,4,4
23,8,Gemini,4,4
24,8,Gemini,3,4
1,9,Gemini,3,4
2,9,Gemini,3,4
3,9,Gemini,4,4
4,9,Gemini,4,4
5,9,Gemini,4,4
6,9,Gemini,3,4
7,9,Gemini,3,4
8,9,Gemini,4,4
9,9,Gemini,4,4
10,9,Gemini,3,4
11,9,Gemini,3,4
12,9,Gemini,4,4
13,9,Gemini,3,4
14,9,Gemini,4,4
15,9,Gemini,3,4
16,9,Gemini,4,4
17,9,Gemini,5,4
18,9,Gemini,3,4
19,9,Gemini,5,4
20,9,Gemini,4,4
21,9,Gemini,3,4
22,9,Gemini,4,4
23,9,Gemini,4,4
24,9,Gemini,3,4
1,10,Gemini,2,1
2,10,Gemini,3,1
3,10,Gemini,4,4
4,10,Gemini,4,4
5,10,Gemini,4,4
6,10,Gemini,3,1
7,10,Gemini,2,1
8,10,Gemini,4,4
9,10,Gemini,5,4
10,10,Gemini,3,1
11,10,Gemini,3,1
12,10,Gemini,4,4
13,10,Gemini,3,1
14,10,Gemini,4,4
15,10,Gemini,3,4
16,10,Gemini,5,4
17,10,Gemini,5,4
18,10,Gemini,3,1
19,10,Gemini,5,4
20,10,Gemini,4,1
21,10,Gemini,2,1
22,10,Gemini,4,4
23,10,Gemini,4,4
24,10,Gemini,3,1
1,11,Gemini,3,1
2,11,Gemini,3,1
3,11,Gemini,4,4
4,11,Gemini,4,4
5,11,Gemini,4,4
6,11,Gemini,3,4
7,11,Gemini,2,1
8,11,Gemini,4,4
9,11,Gemini,4,4
10,11,Gemini,3,1
11,11,Gemini,3,1
12,11,Gemini,4,4
13,11,Gemini,3,1
14,11,Gemini,4,4
15,11,Gemini,3,4
16,11,Gemini,4,4
17,11,Gemini,5,4
18,11,Gemini,3,1
19,11,Gemini,5,4
20,11,Gemini,4,4
21,11,Gemini,2,1
22,11,Gemini,4,4
23,11,Gemini,4,4
24,11,Gemini,3,1
1,12,Gemini,3,4
2,12,Gemini,3,1
3,12,Gemini,4,4
4,12,Gemini,4,4
5,12,Gemini,4,4
6,12,Gemini,3,4
7,12,Gemini,2,1
8,12,Gemini,4,4
9,12,Gemini,5,4
10,12,Gemini,3,1
11,12,Gemini,3,1
12,12,Gemini,4,4
13,12,Gemini,3,1
14,12,Gemini,4,4
15,12,Gemini,3,4
16,12,Gemini,4,4
17,12,Gemini,5,4
18,12,Gemini,2,1
19,12,Gemini,5,4
20,12,Gemini,4,4
21,12,Gemini,2,1
22,12,Gemini,4,4
23,12,Gemini,4,4
24,12,Gemini,3,1
1,13,Gemini,3,4
2,13,Gemini,3,4
3,13,Gemini,4,4
4,13,Gemini,4,4
5,13,Gemini,4,4
6,13,Gemini,3,4
7,13,Gemini,3,1
8,13,Gemini,4,4
9,13,Gemini,4,4
10,13,Gemini,3,1
11,13,Gemini,3,4
12,13,Gemini,4,4
13,13,Gemini,3,4
14,13,Gemini,4,4
15,13,Gemini,3,4
16,13,Gemini,5,4
17,13,Gemini,5,4
18,13,Gemini,3,1
19,13,Gemini,5,4
20,13,Gemini,4,4
21,13,Gemini,3,1
22,13,Gemini,4,4
23,13,Gemini,4,4
24,13,Gemini,3,4
1,14,Gemini,3,4
2,14,Gemini,4,4
3,14,Gemini,4,4
4,14,Gemini,4,4
5,14,Gemini,3,4
6,14,Gemini,3,4
7,14,Gemini,3,4
8,14,Gemini,5,4
9,14,Gemini,4,4
10,14,Gemini,3,4
11,14,Gemini,4,4
12,14,Gemini,4,4
13,14,Gemini,3,4
14,14,Gemini,4,4
15,14,Gemini,3,4
16,14,Gemini,5,4
17,14,Gemini,5,4
18,14,Gemini,3,4
19,14,Gemini,5,4
20,14,Gemini,4,4
21,14,Gemini,3,4
22,14,Gemini,4,4
23,14,Gemini,4,4
24,14,Gemini,3,4
1,15,Gemini,3,1
2,15,Gemini,3,1
3,15,Gemini,4,4
4,15,Gemini,4,4
5,15,Gemini,4,4
6,15,Gemini,3,4
7,15,Gemini,2,1
8,15,Gemini,4,4
9,15,Gemini,5,4
10,15,Gemini,3,1
11,15,Gemini,4,4
12,15,Gemini,4,4
13,15,Gemini,3,4
14,15,Gemini,5,4
15,15,Gemini,4,4
16,15,Gemini,5,4
17,15,Gemini,5,4
18,15,Gemini,3,1
19,15,Gemini,5,4
20,15,Gemini,4,4
21,15,Gemini,3,1
22,15,Gemini,4,4
23,15,Gemini,4,4
24,15,Gemini,3,4
1,16,Gemini,3,4
2,16,Gemini,3,4
3,16,Gemini,4,4
4,16,Gemini,3,4
5,16,Gemini,4,4
6,16,Gemini,3,4
7,16,Gemini,2,1
8,16,Gemini,4,4
9,16,Gemini,4,4
10,16,Gemini,3,4
11,16,Gemini,3,4
12,16,Gemini,4,4
13,16,Gemini,3,4
14,16,Gemini,4,4
15,16,Gemini,3,4
16,16,Gemini,4,4
17,16,Gemini,5,4
18,16,Gemini,3,1
19,16,Gemini,5,4
20,16,Gemini,4,4
21,16,Gemini,3,1
22,16,Gemini,4,4
23,16,Gemini,4,4
24,16,Gemini,3,4
1,17,Gemini,3,4
2,17,Gemini,3,4
3,17,Gemini,4,4
4,17,Gemini,4,4
5,17,Gemini,4,4
6,17,Gemini,4,4
7,17,Gemini,2,1
8,17,Gemini,4,4
9,17,Gemini,5,4
10,17,Gemini,3,4
11,17,Gemini,3,4
12,17,Gemini,4,4
13,17,Gemini,4,4
14,17,Gemini,5,4
15,17,Gemini,3,4
16,17,Gemini,4,4
17,17,Gemini,5,4
18,17,Gemini,3,4
19,17,Gemini,5,4
20,17,Gemini,4,4
21,17,Gemini,3,4
22,17,Gemini,4,4
23,17,Gemini,4,4
24,17,Gemini,3,4
1,18,Gemini,3,4
2,18,Gemini,3,4
3,18,Gemini,4,4
4,18,Gemini,4,4
5,18,Gemini,5,4
6,18,Gemini,4,4
7,18,Gemini,2,1
8,18,Gemini,4,4
9,18,Gemini,5,4
10,18,Gemini,3,4
11,18,Gemini,3,4
12,18,Gemini,4,4
13,18,Gemini,3,1
14,18,Gemini,5,4
15,18,Gemini,3,4
16,18,Gemini,5,4
17,18,Gemini,5,4
18,18,Gemini,3,4
19,18,Gemini,5,4
20,18,Gemini,4,4
21,18,Gemini,3,1
22,18,Gemini,4,4
23,18,Gemini,4,4
24,18,Gemini,3,4
1,19,Gemini,3,1
2,19,Gemini,4,1
3,19,Gemini,4,4
4,19,Gemini,4,4
5,19,Gemini,3,4
6,19,Gemini,4,4
7,19,Gemini,3,1
8,19,Gemini,5,4
9,19,Gemini,4,4
10,19,Gemini,3,1
11,19,Gemini,4,4
12,19,Gemini,4,4
13,19,Gemini,4,4
14,19,Gemini,5,4
15,19,Gemini,3,4
16,19,Gemini,5,4
17,19,Gemini,5,4
18,19,Gemini,4,1
19,19,Gemini,5,4
20,19,Gemini,5,4
21,19,Gemini,3,1
22,19,Gemini,4,4
23,19,Gemini,4,4
24,19,Gemini,3,1
1,20,Gemini,3,4
2,20,Gemini,4,4
3,20,Gemini,4,4
4,20,Gemini,3,4
5,20,Gemini,3,4
6,20,Gemini,3,4
7,20,Gemini,2,1
8,20,Gemini,4,4
9,20,Gemini,4,4
10,20,Gemini,3,4
11,20,Gemini,4,4
12,20,Gemini,4,4
13,20,Gemini,3,4
14,20,Gemini,4,4
15,20,Gemini,3,4
16,20,Gemini,4,4
17,20,Gemini,5,4
